as_of,target_quarter,horizon_month,method,nowcast_livello,nowcast_z,gdp_realizzato,errore,n_iter,converged
2019-07-15,2019Q2,4,gaussian,0.3783760767487368,-0.4890677101205197,0.8316777932895647,-0.4533017165408279,52.0,True
2019-07-15,2019Q2,4,random_walk,0.6223772907267389,-0.058866839998842325,0.8316777932895647,-0.20930050256282584,,True
2019-07-15,2019Q2,4,student_t,0.402749912862357,-0.4460939669438652,0.8316777932895647,-0.4289278804272077,95.0,True
2019-07-15,2019Q3,1,arma22,0.6302900872285828,-0.04491571293397481,1.1632102580909631,-0.5329201708623803,,True
2019-07-15,2019Q3,1,gaussian,0.6492434613636582,-0.011498838027007189,1.1632102580909631,-0.5139667967273049,53.0,True
2019-07-15,2019Q3,1,random_walk,0.6223772907267389,-0.058866839998842325,1.1632102580909631,-0.5408329673642243,,True
2019-07-15,2019Q3,1,student_t,0.6105994888590434,-0.07963239492784405,1.1632102580909631,-0.5526107692319198,95.0,True
2019-08-15,2019Q3,2,arma22,0.7211779558797367,0.11345722573699715,1.1632102580909631,-0.44203230221122647,,True
2019-08-15,2019Q3,2,gaussian,0.5743053155296785,-0.14635441415538294,1.1632102580909631,-0.5889049425612847,53.0,True
2019-08-15,2019Q3,2,random_walk,0.8316777932895647,0.308926878198225,1.1632102580909631,-0.3315324648013984,,True
2019-08-15,2019Q3,2,student_t,0.5606641104661054,-0.1704851429911143,1.1632102580909631,-0.6025461476248577,95.0,True
2019-09-15,2019Q3,3,arma22,0.7211779558797367,0.11345722573699715,1.1632102580909631,-0.44203230221122647,,True
2019-09-15,2019Q3,3,gaussian,0.678426211452245,0.03783115405003768,1.1632102580909631,-0.4847840466387181,53.0,True
2019-09-15,2019Q3,3,random_walk,0.8316777932895647,0.308926878198225,1.1632102580909631,-0.3315324648013984,,True
2019-09-15,2019Q3,3,student_t,0.6727683224796269,0.02782258193748256,1.1632102580909631,-0.4904419356113362,95.0,True
2019-10-15,2019Q3,4,arma22,0.7211779558797367,0.11345722573699715,1.1632102580909631,-0.44203230221122647,,True
2019-10-15,2019Q3,4,gaussian,0.6230232503141431,-0.06017439792939437,1.1632102580909631,-0.54018700777682,52.0,True
2019-10-15,2019Q3,4,random_walk,0.8316777932895647,0.308926878198225,1.1632102580909631,-0.3315324648013984,,True
2019-10-15,2019Q3,4,student_t,0.6199295957966158,-0.06564694510729997,1.1632102580909631,-0.5432806622943473,95.0,True
2019-10-15,2019Q4,1,arma22,0.7136285217055671,0.10010258821992345,0.6795635968053659,0.03406492490020119,,True
2019-10-15,2019Q4,1,gaussian,0.5023925432093135,-0.27356514081781785,0.6795635968053659,-0.17717105359605245,52.0,True
2019-10-15,2019Q4,1,random_walk,0.8316777932895647,0.308926878198225,0.6795635968053659,0.15211419648419877,,True
2019-10-15,2019Q4,1,student_t,0.5183377256769954,-0.2453587710307847,0.6795635968053659,-0.1612258711283705,95.0,True
2019-11-15,2019Q4,2,arma22,0.8461641089957013,0.32835371879506225,0.6795635968053659,0.16660051219033534,,True
2019-11-15,2019Q4,2,gaussian,0.2726669832995474,-0.6868898423615288,0.6795635968053659,-0.4068966135058185,52.0,True
2019-11-15,2019Q4,2,random_walk,1.1632102580909631,0.8896103442188362,0.6795635968053659,0.4836466612855972,,True
2019-11-15,2019Q4,2,student_t,0.28987912346295674,-0.656419742876001,0.6795635968053659,-0.3896844733424092,95.0,True
2019-12-15,2019Q4,3,arma22,0.8461641089957013,0.32835371879506225,0.6795635968053659,0.16660051219033534,,True
2019-12-15,2019Q4,3,gaussian,0.5068384322959523,-0.2723436395157497,0.6795635968053659,-0.17272516450941366,52.0,True
2019-12-15,2019Q4,3,random_walk,1.1632102580909631,0.8896103442188362,0.6795635968053659,0.4836466612855972,,True
2019-12-15,2019Q4,3,student_t,0.5012135849550919,-0.2823011262919306,0.6795635968053659,-0.178350011850274,96.0,True
