window,modello,trimestre,realizzato,fed,err_fed,mio_migliore,err_migliore,mio_peggiore,err_peggiore
completo,qbvar,2021Q2,6.983331307653917,3.16,-3.823331307653917,qbvar/-,-2.9026791455038063,qbvar/-,-2.9026791455038063
completo,qbvar,2023Q1,2.926993175212877,1.72,-1.206993175212877,qbvar/-,-0.6541631566516322,qbvar/-,-0.6541631566516322
completo,qbvar,2023Q2,2.5352403907615395,1.08,-1.4552403907615394,qbvar/-,-0.2803227204470793,qbvar/-,-0.2803227204470793
completo,qbvar,2023Q3,4.694888429547928,2.58,-2.1148884295479276,qbvar/-,-2.1181948032908404,qbvar/-,-2.1181948032908404
completo,qbvar,2023Q4,3.419215575294809,2.41,-1.0092155752948089,qbvar/-,-2.238961390237359,qbvar/-,-2.238961390237359
completo,qbvar,2024Q1,0.8420915771010673,2.251,1.4089084228989326,qbvar/-,0.4229477439512963,qbvar/-,0.4229477439512963
completo,qbvar,2024Q2,3.5892686664036777,2.015,-1.5742686664036776,qbvar/-,-0.1972826462196431,qbvar/-,-0.1972826462196431
completo,qbvar,2024Q3,3.340152501559479,2.912,-0.42815250155947915,qbvar/-,-0.8351075245700113,qbvar/-,-0.8351075245700113
completo,qbvar,2024Q4,1.8522267738050768,2.563,0.7107732261949233,qbvar/-,1.0316993807932495,qbvar/-,1.0316993807932495
completo,qbvar,2025Q1,-0.6484826392524012,2.631,3.279482639252401,qbvar/-,3.3695483591336006,qbvar/-,3.3695483591336006
completo,qbvar,2025Q2,3.838033233381988,1.68,-2.158033233381988,qbvar/-,-1.3504223893014315,qbvar/-,-1.3504223893014315
completo,qbvar,2025Q3,4.3753962528716,2.35,-2.0253962528716003,qbvar/-,-1.8871326733677871,qbvar/-,-1.8871326733677871
completo,cbvar,2006Q4,3.4823729200428755,1.78,-1.7023729200428754,cbvar/authors,0.21220300517251767,cbvar/authors,0.21220300517251767
completo,cbvar,2007Q1,1.2087836914185912,2.4,1.1912163085814087,cbvar/authors,1.095498020869357,cbvar/authors,1.095498020869357
completo,cbvar,2007Q2,2.4695947150627617,3.25,0.7804052849372383,cbvar/authors,0.3807708279380151,cbvar/authors,0.3807708279380151
completo,cbvar,2007Q3,2.3240880884577653,1.99,-0.3340880884577653,cbvar/authors,-0.9416113759919797,cbvar/authors,-0.9416113759919797
completo,cbvar,2007Q4,2.5367271478347497,1.49,-1.0467271478347497,cbvar/authors,-2.845071016045436,cbvar/authors,-2.845071016045436
completo,cbvar,2008Q1,-1.6961606735480972,1.43,3.126160673548097,cbvar/authors,0.4268566395304483,cbvar/authors,0.4268566395304483
completo,cbvar,2008Q2,2.403069701864058,1.99,-0.4130697018640579,cbvar/authors,-4.08484539151876,cbvar/authors,-4.08484539151876
completo,cbvar,2008Q3,-2.0845363314131338,-0.52,1.5645363314131338,cbvar/authors,-1.9432263295723282,cbvar/authors,-1.9432263295723282
completo,cbvar,2008Q4,-8.472768957225274,-3.47,5.002768957225273,cbvar/authors,4.155859490350084,cbvar/authors,4.155859490350084
completo,cbvar,2009Q1,-4.462803810727223,-3.57,0.8928038107272234,cbvar/authors,-0.19715245954593463,cbvar/authors,-0.19715245954593463
completo,cbvar,2009Q2,-0.7126911125331037,0.04,0.7526911125331037,cbvar/authors,-1.5703372725931253,cbvar/authors,-1.5703372725931253
completo,cbvar,2009Q3,1.412187087697636,5.2,3.787812912302364,cbvar/authors,2.8691406764247196,cbvar/authors,2.8691406764247196
completo,cbvar,2009Q4,4.394263592305325,4.32,-0.07426359230532498,cbvar/authors,-0.9922138036078221,cbvar/authors,-0.9922138036078221
completo,cbvar,2010Q1,1.952133820572155,3.98,2.027866179427845,cbvar/authors,0.35104483167629486,cbvar/authors,0.35104483167629486
completo,cbvar,2010Q2,3.926881074055233,4.96,1.033118925944767,cbvar/authors,0.045034413406896956,cbvar/authors,0.045034413406896956
completo,cbvar,2010Q3,3.1201978026194954,2.27,-0.8501978026194954,cbvar/authors,-1.3265229076197538,cbvar/authors,-1.3265229076197538
completo,cbvar,2010Q4,2.117043484228409,2.9,0.7829565157715908,cbvar/authors,1.249805814887317,cbvar/authors,1.249805814887317
completo,cbvar,2011Q1,-0.9454489541211974,4.37,5.315448954121198,cbvar/authors,4.790574939667325,cbvar/authors,4.790574939667325
completo,cbvar,2011Q2,2.7339190839842376,3.17,0.4360809160157624,cbvar/authors,-0.008587460252840184,cbvar/authors,-0.008587460252840184
completo,cbvar,2011Q3,-0.0892210766206935,2.09,2.1792210766206934,cbvar/authors,1.3513313898867563,cbvar/authors,1.3513313898867563
completo,cbvar,2011Q4,4.568438742179692,3.22,-1.3484387421796922,cbvar/authors,-1.7670184237342563,cbvar/authors,-1.7670184237342563
completo,cbvar,2012Q1,3.396793738645587,3.28,-0.11679373864558729,cbvar/authors,-1.5187669269921986,cbvar/authors,-1.5187669269921986
completo,cbvar,2012Q2,1.7973274732638431,2.88,1.0826725267361568,cbvar/authors,-0.322731406664134,cbvar/authors,-0.322731406664134
completo,cbvar,2012Q3,0.5773578286532466,1.64,1.0626421713467533,cbvar/authors,0.7492079356793746,cbvar/authors,0.7492079356793746
completo,cbvar,2012Q4,0.4633651980530562,2.66,2.196634801946944,cbvar/authors,1.7988456281255556,cbvar/authors,1.7988456281255556
completo,cbvar,2013Q1,4.005025807945661,3.83,-0.17502580794566125,cbvar/authors,-1.1605197256199018,cbvar/authors,-1.1605197256199018
completo,cbvar,2013Q2,1.0748507650766292,1.95,0.8751492349233707,cbvar/authors,0.7669347723192612,cbvar/authors,0.7669347723192612
completo,cbvar,2013Q3,3.4493139225505898,2.15,-1.2993139225505899,cbvar/authors,-0.8831192896440743,cbvar/authors,-0.8831192896440743
