window,metodo,target_quarter,as_of,horizon_week,nowcast_bea,realizzato_bea,gdp_release_date,errore
2007-2021,fed_overlap/gaussian_ar1,2011Q3,2011-10-21,17,3.391307423336909,-0.0892210766206935,2011-10-28,3.4805284999576025
2007-2021,fed_overlap/gaussian_ar1,2011Q4,2012-01-27,17,3.652093558215097,4.568438742179692,2012-01-28,-0.9163451839645953
2007-2021,fed_overlap/gaussian_ar1,2012Q1,2012-04-27,17,3.0105205763947485,3.396793738645587,2012-04-28,-0.38627316225083863
2007-2021,fed_overlap/gaussian_ar1,2012Q2,2012-07-27,17,3.2185911951355006,1.7973274732638431,2012-07-28,1.4212637218716575
2007-2021,fed_overlap/gaussian_ar1,2012Q3,2012-10-26,17,1.9245479909871357,0.5773578286532466,2012-10-28,1.347190162333889
2007-2021,fed_overlap/gaussian_ar1,2012Q4,2013-01-25,17,2.645083034455853,0.4633651980530562,2013-01-28,2.1817178364027967
2007-2021,fed_overlap/gaussian_ar1,2013Q1,2013-04-26,17,3.030720250411534,4.005025807945661,2013-04-28,-0.9743055575341275
2007-2021,fed_overlap/gaussian_ar1,2013Q2,2013-07-26,17,2.3994156447938453,1.0748507650766292,2013-07-28,1.324564879717216
2007-2021,fed_overlap/gaussian_ar1,2013Q3,2013-10-25,17,2.845245167696797,3.4493139225505898,2013-10-28,-0.6040687548537926
2007-2021,fed_overlap/gaussian_ar1,2013Q4,2014-01-24,17,2.8613815199679093,3.532828598657445,2014-01-28,-0.6714470786895355
2007-2021,fed_overlap/gaussian_ar1,2014Q1,2014-04-25,17,3.181827371742152,-1.3732548917761769,2014-04-28,4.555082263518329
2007-2021,fed_overlap/gaussian_ar1,2014Q2,2014-07-25,17,4.129707509042491,5.268365026582655,2014-07-28,-1.1386575175401648
2007-2021,fed_overlap/gaussian_ar1,2014Q3,2014-10-24,17,2.381424678922928,4.950916534930627,2014-10-28,-2.569491856007699
2007-2021,fed_overlap/gaussian_ar1,2014Q4,2015-01-23,17,3.132692243047108,2.0383303103057804,2015-01-28,1.0943619327413274
2007-2021,fed_overlap/gaussian_ar1,2015Q1,2015-04-24,17,0.7541464671955822,3.650885031119766,2015-04-28,-2.896738563924184
2007-2021,fed_overlap/gaussian_ar1,2015Q2,2015-07-24,17,0.7180509529298496,2.500735310964308,2015-07-28,-1.7826843580344582
2007-2021,fed_overlap/gaussian_ar1,2015Q3,2015-10-23,17,3.224488825851401,1.61061768429811,2015-10-28,1.6138711415532911
2007-2021,fed_overlap/gaussian_ar1,2015Q4,2016-01-22,17,1.0261514311763251,0.7399609712167354,2016-01-28,0.2861904599595897
2007-2021,fed_overlap/gaussian_ar1,2016Q1,2016-04-22,17,1.833630702217115,2.3383061524439253,2016-04-28,-0.5046754502268103
2007-2021,fed_overlap/gaussian_ar1,2016Q2,2016-07-22,17,2.3889289608265862,1.290696770237454,2016-07-28,1.0982321905891321
2007-2021,fed_overlap/gaussian_ar1,2016Q3,2016-10-21,17,2.9694603167159217,2.8678981414693494,2016-10-28,0.1015621752465723
2007-2021,fed_overlap/gaussian_ar1,2016Q4,2017-01-27,17,2.31758213797848,2.235699518586598,2017-01-28,0.08188261939188202
2007-2021,fed_overlap/gaussian_ar1,2017Q1,2017-04-21,16,2.837846699513813,1.9618307902452337,2017-04-28,0.8760159092685793
2007-2021,fed_overlap/gaussian_ar1,2017Q2,2017-07-21,16,4.6301512767128905,2.258367983115228,2017-07-28,2.3717832935976624
2007-2021,fed_overlap/gaussian_ar1,2017Q3,2017-10-27,17,2.298682417345121,3.1915992394406345,2017-10-28,-0.8929168220955135
2007-2021,fed_overlap/gaussian_ar1,2017Q4,2018-01-26,17,4.391939494168962,4.584974811729059,2018-01-28,-0.1930353175600974
2007-2021,fed_overlap/gaussian_ar1,2018Q1,2018-04-27,17,3.616267338846324,3.293553047698339,2018-04-28,0.3227142911479852
2007-2021,fed_overlap/gaussian_ar1,2018Q2,2018-07-27,17,4.107861092289156,2.140266992640893,2018-07-28,1.9675940996482626
2007-2021,fed_overlap/gaussian_ar1,2018Q3,2018-10-26,17,3.53717193715819,2.5182268082057035,2018-10-28,1.0189451289524865
2007-2021,fed_overlap/gaussian_ar1,2018Q4,2019-01-25,17,2.4246250206499287,0.5677817986818878,2019-01-28,1.8568432219680409
2007-2021,fed_overlap/gaussian_ar1,2019Q1,2019-04-26,17,1.0392565987444202,2.520756202743435,2019-04-28,-1.4814996039990147
2007-2021,fed_overlap/gaussian_ar1,2019Q2,2019-07-26,17,1.4214521480042208,3.382664959003589,2019-07-28,-1.9612128109993683
