window,metodo,target_quarter,as_of,horizon_week,nowcast_bea,realizzato_bea,gdp_release_date,errore
2007-2010,diag3/gaussian,2010Q2,2010-07-23,17,4.618013454991399,3.926881074055233,2010-07-28,0.6911323809361658
2007-2010,diag3/gaussian,2010Q3,2010-10-22,17,4.256298020731508,3.1201978026194954,2010-10-28,1.1361002181120128
2007-2010,diag3/gaussian_ar1,2006Q4,2007-01-26,17,3.0945283403984725,3.4823729200428755,2007-01-28,-0.387844579644403
2007-2010,diag3/gaussian_ar1,2007Q1,2007-04-27,17,3.050966171806735,1.2087836914185912,2007-04-28,1.8421824803881437
2007-2010,diag3/gaussian_ar1,2007Q2,2007-07-27,17,3.616491991674176,2.4695947150627617,2007-07-28,1.1468972766114143
2007-2010,diag3/gaussian_ar1,2007Q3,2007-10-26,17,2.854652962210058,2.3240880884577653,2007-10-28,0.5305648737522928
2007-2010,diag3/gaussian_ar1,2007Q4,2008-01-25,17,3.116052813407588,2.5367271478347497,2008-01-28,0.5793256655728385
2007-2010,diag3/gaussian_ar1,2008Q1,2008-04-25,17,2.7759201948579726,-1.6961606735480972,2008-04-28,4.47208086840607
2007-2010,diag3/gaussian_ar1,2008Q2,2008-07-25,17,2.469746655965688,2.403069701864058,2008-07-28,0.06667695410163033
2007-2010,diag3/gaussian_ar1,2008Q3,2008-10-24,17,1.0797206742989784,-2.0845363314131338,2008-10-28,3.164257005712112
2007-2010,diag3/gaussian_ar1,2008Q4,2009-01-23,17,-2.16616304515983,-8.472768957225274,2009-01-28,6.306605912065443
2007-2010,diag3/gaussian_ar1,2009Q1,2009-04-24,17,-7.148466906540973,-4.462803810727223,2009-04-28,-2.6856630958137497
2007-2010,diag3/gaussian_ar1,2009Q2,2009-07-24,17,-3.9441620318114263,-0.7126911125331037,2009-07-28,-3.2314709192783226
2007-2010,diag3/gaussian_ar1,2009Q3,2009-10-23,17,1.141665178896134,1.412187087697636,2009-10-28,-0.27052190880150184
2007-2010,diag3/gaussian_ar1,2009Q4,2010-01-22,17,3.373881440333037,4.394263592305325,2010-01-28,-1.0203821519722882
2007-2010,diag3/gaussian_ar1,2010Q1,2010-04-23,17,4.115519162069958,1.952133820572155,2010-04-28,2.1633853414978033
2007-2010,diag3/gaussian_ar1,2010Q2,2010-07-23,17,4.953236542297823,3.926881074055233,2010-07-28,1.0263554682425902
2007-2010,diag3/gaussian_ar1,2010Q3,2010-10-22,17,3.7705652028303223,3.1201978026194954,2010-10-28,0.6503674002108268
2007-2010,diag3/student_t,2006Q4,2007-01-26,17,3.2750051572354,3.4823729200428755,2007-01-28,-0.2073677628074755
2007-2010,diag3/student_t,2007Q1,2007-04-27,17,3.2041079090442848,1.2087836914185912,2007-04-28,1.9953242176256936
2007-2010,diag3/student_t,2007Q2,2007-07-27,17,3.33236049984742,2.4695947150627617,2007-07-28,0.8627657847846582
2007-2010,diag3/student_t,2007Q3,2007-10-26,17,3.2538863811070184,2.3240880884577653,2007-10-28,0.9297982926492532
2007-2010,diag3/student_t,2007Q4,2008-01-25,17,3.119451313055865,2.5367271478347497,2008-01-28,0.5827241652211153
2007-2010,diag3/student_t,2008Q1,2008-04-25,17,2.7301769625368344,-1.6961606735480972,2008-04-28,4.426337636084932
2007-2010,diag3/student_t,2008Q2,2008-07-25,17,2.4532825239662825,2.403069701864058,2008-07-28,0.05021282210222466
2007-2010,diag3/student_t,2008Q3,2008-10-24,17,2.315155157590376,-2.0845363314131338,2008-10-28,4.39969148900351
2007-2010,diag3/student_t,2008Q4,2009-01-23,17,0.5656332197842673,-8.472768957225274,2009-01-28,9.03840217700954
2007-2010,diag3/student_t,2009Q1,2009-04-24,17,-1.1214183071626138,-4.462803810727223,2009-04-28,3.3413855035646094
2007-2010,diag3/student_t,2009Q2,2009-07-24,17,-0.6399480068328689,-0.7126911125331037,2009-07-28,0.07274310570023479
2007-2010,diag3/student_t,2009Q3,2009-10-23,17,1.5488742305733938,1.412187087697636,2009-10-28,0.1366871428757579
2007-2010,diag3/student_t,2009Q4,2010-01-22,17,3.099300783652059,4.394263592305325,2010-01-28,-1.294962808653266
2007-2010,diag3/student_t,2010Q1,2010-04-23,17,3.73618846302608,1.952133820572155,2010-04-28,1.784054642453925
2007-2010,diag3/student_t,2010Q2,2010-07-23,17,4.162079020575127,3.926881074055233,2010-07-28,0.2351979465198939
2007-2010,diag3/student_t,2010Q3,2010-10-22,17,3.9877716067031166,3.1201978026194954,2010-10-28,0.8675738040836212
2007-2010,diag3/student_t_ar1,2006Q4,2007-01-26,17,2.84282613920106,3.4823729200428755,2007-01-28,-0.6395467808418154
2007-2010,diag3/student_t_ar1,2007Q1,2007-04-27,17,3.349428802571897,1.2087836914185912,2007-04-28,2.140645111153306
2007-2010,diag3/student_t_ar1,2007Q2,2007-07-27,17,3.140326284893691,2.4695947150627617,2007-07-28,0.6707315698309291
2007-2010,diag3/student_t_ar1,2007Q3,2007-10-26,17,2.836899379550739,2.3240880884577653,2007-10-28,0.5128112910929739
2007-2010,diag3/student_t_ar1,2007Q4,2008-01-25,17,3.115285065661721,2.5367271478347497,2008-01-28,0.5785579178269713
2007-2010,diag3/student_t_ar1,2008Q1,2008-04-25,17,2.7420765825783238,-1.6961606735480972,2008-04-28,4.4382372561264205
2007-2010,diag3/student_t_ar1,2008Q2,2008-07-25,17,2.4281513016250145,2.403069701864058,2008-07-28,0.025081599760956585
2007-2010,diag3/student_t_ar1,2008Q3,2008-10-24,17,1.0129097640599882,-2.0845363314131338,2008-10-28,3.097446095473122
2007-2010,diag3/student_t_ar1,2008Q4,2009-01-23,17,-1.3119238101627628,-8.472768957225274,2009-01-28,7.160845147062511
2007-2010,diag3/student_t_ar1,2009Q1,2009-04-24,17,-7.042436740372482,-4.462803810727223,2009-04-28,-2.5796329296452587
2007-2010,diag3/student_t_ar1,2009Q2,2009-07-24,17,-3.850347596597825,-0.7126911125331037,2009-07-28,-3.1376564840647214
2007-2010,diag3/student_t_ar1,2009Q3,2009-10-23,17,1.3027363507599254,1.412187087697636,2009-10-28,-0.10945073693771046
2007-2010,diag3/student_t_ar1,2009Q4,2010-01-22,17,3.698600804613572,4.394263592305325,2010-01-28,-0.6956627876917532
2007-2010,diag3/student_t_ar1,2010Q1,2010-04-23,17,4.332532006761025,1.952133820572155,2010-04-28,2.38039818618887
2007-2010,diag3/student_t_ar1,2010Q2,2010-07-23,17,5.018167756622738,3.926881074055233,2010-07-28,1.091286682567505
2007-2010,diag3/student_t_ar1,2010Q3,2010-10-22,17,3.861846620898435,3.1201978026194954,2010-10-28,0.7416488182789394
2007-2010,diag3/student_t_ar1_shared,2006Q4,2007-01-26,17,2.7741513986677235,3.4823729200428755,2007-01-28,-0.7082215213751519
2007-2010,diag3/student_t_ar1_shared,2007Q1,2007-04-27,17,3.300484985257812,1.2087836914185912,2007-04-28,2.091701293839221
2007-2010,diag3/student_t_ar1_shared,2007Q2,2007-07-27,17,3.739523295177105,2.4695947150627617,2007-07-28,1.2699285801143434
2007-2010,diag3/student_t_ar1_shared,2007Q3,2007-10-26,17,2.868345133712036,2.3240880884577653,2007-10-28,0.5442570452542705
2007-2010,diag3/student_t_ar1_shared,2007Q4,2008-01-25,17,3.1290240337515263,2.5367271478347497,2008-01-28,0.5922968859167765
2007-2010,diag3/student_t_ar1_shared,2008Q1,2008-04-25,17,2.716486469243096,-1.6961606735480972,2008-04-28,4.412647142791194
2007-2010,diag3/student_t_ar1_shared,2008Q2,2008-07-25,17,2.6102684463535475,2.403069701864058,2008-07-28,0.2071987444894896
2007-2010,diag3/student_t_ar1_shared,2008Q3,2008-10-24,17,1.457822469601333,-2.0845363314131338,2008-10-28,3.542358801014467
2007-2010,diag3/student_t_ar1_shared,2008Q4,2009-01-23,17,-0.4948896998419272,-8.472768957225274,2009-01-28,7.977879257383346
2007-2010,diag3/student_t_ar1_shared,2009Q1,2009-04-24,17,-4.472909057485008,-4.462803810727223,2009-04-28,-0.010105246757785125
2007-2010,diag3/student_t_ar1_shared,2009Q2,2009-07-24,17,-2.521177096488869,-0.7126911125331037,2009-07-28,-1.8084859839557654
2007-2010,diag3/student_t_ar1_shared,2009Q3,2009-10-23,17,0.8522835455642142,1.412187087697636,2009-10-28,-0.5599035421334217
2007-2010,diag3/student_t_ar1_shared,2009Q4,2010-01-22,17,2.9084509978868134,4.394263592305325,2010-01-28,-1.4858125944185119
2007-2010,diag3/student_t_ar1_shared,2010Q1,2010-04-23,17,3.6966556782303206,1.952133820572155,2010-04-28,1.7445218576581656
