window,trimestre,realizzato,fed,err_fed,mio_migliore,err_migliore,mio_peggiore,err_peggiore
2007-2021,2010Q2,3.926881074055233,4.96,1.033118925944767,diag3/student_t,0.23564558809974212,diag3/student_t_ar1,1.096005743893369
2007-2021,2010Q3,3.1201978026194954,2.27,-0.8501978026194954,diag3/student_t_ar1_shared,0.22494662180698732,diag3/gaussian,1.1361002181120128
2007-2021,2010Q4,2.117043484228409,2.9,0.7829565157715908,diag3/student_t,2.0015409536951134,diag3/gaussian,2.2635393517586033
2007-2021,2011Q1,-0.9454489541211974,4.37,5.315448954121198,diag3/student_t_ar1_shared,5.334209848281867,diag3/gaussian,5.9774193361858625
2007-2021,2011Q2,2.7339190839842376,3.17,0.4360809160157624,diag3/gaussian_ar1,1.4146946871488542,diag3/gaussian,1.8975525091556644
2007-2021,2011Q3,-0.0892210766206935,2.09,2.1792210766206934,diag3/gaussian_ar1,2.638874428569482,diag3/gaussian,3.348866582452492
2007-2021,2011Q4,4.568438742179692,3.22,-1.3484387421796922,diag3/student_t_ar1,-1.4948047993528442,diag3/gaussian,-1.7170167690976563
2007-2021,2012Q1,3.396793738645587,3.28,-0.11679373864558729,diag3/gaussian,-0.022315325641030892,diag3/student_t_ar1_shared,-0.4762928373538422
2007-2021,2012Q2,1.7973274732638431,2.88,1.0826725267361568,diag3/student_t,1.3882600951559356,diag3/student_t_ar1_shared,1.590628945941219
2007-2021,2012Q3,0.5773578286532466,1.64,1.0626421713467533,diag3/gaussian_ar1,1.4107934120427543,diag3/student_t,2.0763837009036172
2007-2021,2012Q4,0.4633651980530562,2.66,2.196634801946944,diag3/student_t_ar1_shared,2.0162438248339636,diag3/student_t,2.1629032435759976
2007-2021,2013Q1,4.005025807945661,3.83,-0.17502580794566125,diag3/student_t_ar1,-1.0534083877777651,diag3/student_t,-1.2040925687067716
2007-2021,2013Q2,1.0748507650766292,1.95,0.8751492349233707,diag3/student_t_ar1_shared,1.0595567173682374,diag3/student_t,1.4699237017020472
2007-2021,2013Q3,3.4493139225505898,2.15,-1.2993139225505899,diag3/student_t_ar1_shared,-0.28118803554044725,diag3/student_t,-0.426031993803222
2007-2021,2013Q4,3.532828598657445,3.42,-0.11282859865744488,diag3/student_t,-0.017128788808484785,diag3/student_t_ar1_shared,-0.35211581573342254
2007-2021,2014Q1,-1.3732548917761769,2.23,3.603254891776177,diag3/student_t,4.520618236103391,diag3/student_t_ar1,4.764688584874754
2007-2021,2014Q2,5.268365026582655,3.07,-2.1983650265826555,diag3/student_t_ar1_shared,-1.3515190598780924,diag3/student_t,-1.9691323529454237
2007-2021,2014Q3,4.950916534930627,2.2,-2.750916534930627,diag3/gaussian,-1.0391368434982784,diag3/student_t_ar1_shared,-1.889488000806927
2007-2021,2014Q4,2.0383303103057804,2.56,0.5216696896942197,diag3/student_t_ar1_shared,1.455455966237551,diag3/gaussian,1.9047861622395685
2007-2021,2015Q1,3.650885031119766,0.64,-3.010885031119766,diag3/gaussian,-0.6018240145896803,diag3/student_t_ar1,-1.545754769924046
2007-2021,2015Q2,2.500735310964308,2.2,-0.3007353109643076,diag3/student_t,0.22467187528640897,diag3/student_t_ar1,-0.7130759675614491
2007-2021,2015Q3,1.61061768429811,2.02,0.4093823157018901,diag3/student_t_ar1,0.8036657054625749,diag3/gaussian,1.1169159226800842
2007-2021,2015Q4,0.7399609712167354,1.42,0.6800390287832645,diag3/student_t_ar1,0.5013862864990726,diag3/student_t,1.3700699584850766
2007-2021,2016Q1,2.3383061524439253,0.7,-1.6383061524439253,diag3/student_t,-0.43232745011243523,diag3/student_t_ar1,-1.2555915839598697
2007-2021,2016Q2,1.290696770237454,2.17,0.8793032297625458,diag3/student_t_ar1,0.8823757938865915,diag3/student_t,1.147172042925315
2007-2021,2016Q3,2.8678981414693494,2.22,-0.6478981414693492,diag3/gaussian_ar1,-0.34099171122228267,diag3/student_t_ar1_shared,-0.4794141507456384
2007-2021,2016Q4,2.235699518586598,2.02,-0.21569951858659797,diag3/student_t_ar1_shared,0.22545244599143643,diag3/gaussian,0.5203941565312458
2007-2021,2017Q1,1.9618307902452337,2.65,0.6881692097547663,diag3/student_t_ar1_shared,1.3020547817314871,diag3/gaussian,1.6498770152565183
2007-2021,2017Q2,2.258367983115228,2.04,-0.2183679831152281,diag3/student_t_ar1_shared,0.8394483536376507,diag3/gaussian,1.391274800221165
2007-2021,2017Q3,3.1915992394406345,1.6,-1.5915992394406344,diag3/student_t_ar1_shared,-0.00598796715534089,diag3/gaussian,0.7099285803970679
2007-2021,2017Q4,4.584974811729059,3.88,-0.7049748117290591,diag3/gaussian,-0.24175684558467303,diag3/student_t_ar1_shared,-0.8501974304986342
2007-2021,2018Q1,3.293553047698339,2.97,-0.3235530476983386,diag3/student_t_ar1_shared,0.4421745732350324,diag3/gaussian,1.106516905890076
2007-2021,2018Q2,2.140266992640893,2.78,0.6397330073591068,diag3/student_t_ar1_shared,1.5373511970584013,diag3/gaussian,2.078082520322489
2007-2021,2018Q3,2.5182268082057035,2.18,-0.3382268082057034,diag3/student_t_ar1_shared,0.8522213674863495,diag3/gaussian,1.7329634764994717
2007-2021,2018Q4,0.5677817986818878,2.57,2.002218201318112,diag3/student_t_ar1,2.469794488372501,diag3/gaussian,3.458317481779427
2007-2021,2019Q1,2.520756202743435,1.43,-1.090756202743435,diag3/student_t_ar1_shared,-0.17604962427664184,diag3/gaussian,0.8264456723965581
2007-2021,2019Q2,3.382664959003589,1.5,-1.882664959003589,diag3/gaussian,-0.44080399153913996,diag3/student_t_ar1,-1.3415108315162567
2007-2021,2019Q3,4.762784209178728,1.91,-2.8527842091787274,diag3/student_t,-2.3250466539611385,diag3/student_t_ar1,-2.6327171860661913
2007-2021,2019Q4,2.755535957854649,1.22,-1.535535957854649,diag3/student_t,-0.7261426313424746,diag3/student_t_ar1,-1.0529566696308779
2007-2021,2020Q1,-5.16223383893778,-0.4,4.76223383893778,diag3/gaussian_ar1,5.809419771509672,diag3/student_t,7.1998103158614
2007-2021,2020Q2,-27.97614656719044,-14.27,13.70614656719044,diag3/gaussian_ar1,17.52853805704011,diag3/student_t,28.293436868227083
2007-2021,2020Q3,34.85500597467652,13.75,-21.105005974676523,diag3/gaussian_ar1,-13.973892678399551,diag3/gaussian,-32.305511311256986
2007-2021,2020Q4,4.611736044615711,2.58,-2.0317360446157107,diag3/gaussian,-0.27019127027174683,diag3/student_t_ar1_shared,-3.3835947752433926
2007-2021,2021Q1,5.701255644273506,6.86,1.158744355726494,diag3/gaussian,-0.5266867221090266,diag3/student_t_ar1,4.37313551648515
2007-2021,2021Q2,6.983331307653917,3.16,-3.823331307653917,diag3/gaussian_ar1,-0.01714032814299493,diag3/student_t,-2.617766980168068
2007-2025,2006Q4,3.4823729200428755,1.78,-1.7023729200428754,diag3/gaussian,-0.19183877947959127,diag3/student_t_ar1_shared,-0.7082215213751519
2007-2025,2007Q1,1.2087836914185912,2.4,1.1912163085814087,diag3/gaussian_ar1,1.8421824803881437,diag3/student_t_ar1,2.221877231767655
2007-2025,2007Q2,2.4695947150627617,3.25,0.7804052849372383,diag3/student_t_ar1,0.3533394535045975,diag3/student_t_ar1_shared,1.2699285801143434
2007-2025,2007Q3,2.3240880884577653,1.99,-0.3340880884577653,diag3/gaussian_ar1,0.5305648737522928,diag3/student_t,0.9297406035571054
2007-2025,2007Q4,2.5367271478347497,1.49,-1.0467271478347497,diag3/student_t_ar1,0.36761430643372783,diag3/student_t,0.5858982896339571
2007-2025,2008Q1,-1.6961606735480972,1.43,3.126160673548097,diag3/gaussian,4.403895359162036,diag3/gaussian_ar1,4.47208086840607
2007-2025,2008Q2,2.403069701864058,1.99,-0.4130697018640579,diag3/gaussian,0.015512198416645084,diag3/student_t_ar1,-0.8652428953200397
2007-2025,2008Q3,-2.0845363314131338,-0.52,1.5645363314131338,diag3/gaussian_ar1,3.164257005712112,diag3/student_t,4.4032846685050036
