window,fase,metodo,n,RMSE,MAE,Bias,corr,MDA,n_dir,SignAcc,RMSE_rel_ar2,RMSE_rel_mean
2019-2021,forecast,mean,130,14.418503314241475,8.41526384242297,-0.7172489293364785,-0.18051041744073823,0.9,130,0.8,0.9040446214503675,1.0
2019-2021,nowcast M1,bbvar/-,40,14.890418897797879,9.386077216557867,-1.9490550957106094,-0.17300474209372477,0.825,40,0.65,0.920967174142209,1.0324497695785229
2019-2021,nowcast M1,cbvar/authors,40,17.117340359408512,11.57295987356839,-2.4285323588298113,-0.3641932966465635,0.7,40,0.45,1.058701483674595,1.1868567453452952
2019-2021,nowcast M1,diag3/gaussian,40,14.182891603883679,7.8142010794443735,-0.13334995089679894,0.17769896508186556,0.975,40,0.8,0.877206859742927,0.9833922919759107
2019-2021,nowcast M1,diag3/gaussian_ar1,40,13.212337106953173,7.846930742776325,0.054383242857144506,0.4778324528649344,0.8,40,0.825,0.8171784053035901,0.9160974244777579
2019-2021,nowcast M1,diag3/student_t,40,14.045079033143965,7.873182539562114,-0.3495650036517837,0.392789989136114,0.975,40,0.8,0.8686832006903131,0.9738368484466301
2019-2021,nowcast M1,diag3/student_t_ar1,40,14.329142452479244,8.40245793412792,0.5363422016303435,0.1272406041251789,0.8,40,0.8,0.8862524233144714,0.9935328162935634
2019-2021,nowcast M1,diag3/student_t_ar1_shared,40,14.018223016063851,7.851156696786617,0.4182912346115891,0.24292974089422512,0.925,40,0.8,0.8670221654750684,0.971974745786089
2019-2021,nowcast M1,diag4/gaussian,40,12.424473312007613,7.214275552498154,0.34030122996937456,0.7469428046207319,0.825,40,0.875,0.7684493065575987,0.8614696937783145
2019-2021,nowcast M1,diag4/gaussian_ar1,40,12.701885834960287,7.346218359007776,0.5207190129889809,0.681228791211781,0.85,40,0.875,0.7856071735785976,0.8807045116411647
2019-2021,nowcast M1,diag4/student_t,40,12.219170378332056,7.028098738683414,0.40528873715721225,0.8463652386433008,0.925,40,0.85,0.7557513922834579,0.8472347036130297
2019-2021,nowcast M1,diag4/student_t_ar1,40,13.132966647761371,7.519863963889731,0.5603274897505439,0.5949311071785202,0.875,40,0.85,0.812269370305048,0.9105941533564843
2019-2021,nowcast M1,diag4/student_t_ar1_shared,40,12.244944963656067,6.972469207215923,0.6452758577117976,0.8243711570709585,0.875,40,0.875,0.7573455413247621,0.8490218235632074
2019-2021,nowcast M1,fed_overlap/gaussian,40,12.394363832333202,7.063127325477765,-0.03687003179854394,0.8050536861975346,0.95,40,0.875,0.7665870458246427,0.8593820073562373
2019-2021,nowcast M1,fed_overlap/gaussian_ar1,40,12.607642982602352,7.308444914778491,0.4335027102028171,0.6824604065675933,0.85,40,0.875,0.7797782862910798,0.8741700405917463
2019-2021,nowcast M1,fed_overlap/student_t,40,12.130757504699774,6.970911204535474,0.2547562121124642,0.8318976025632474,0.9,40,0.85,0.7502830871306085,0.8411044629773601
2019-2021,nowcast M1,fed_overlap/student_t_ar1,40,12.611607722024578,7.218038789884976,0.5505416402290123,0.774847864771146,0.9,40,0.85,0.780023504030551,0.8744449418105107
2019-2021,nowcast M1,fed_overlap/student_t_ar1_shared,40,12.156558395536162,7.021621570359343,0.4201375138478561,0.8478501994343182,0.925,40,0.875,0.7518788631586055,0.84289340686012
2019-2021,nowcast M1,lbvar/-,40,11.555871624573506,7.835517427206791,-0.8348901844005747,0.6223122687664561,0.825,40,0.7,0.714726597544379,0.801243878896808
2019-2021,nowcast M1,qbvar/-,40,17.3746913047088,10.736045686683234,-1.1317601063295886,-0.3728349164478561,0.675,40,0.575,1.0746185491703872,1.2047005633063461
2019-2021,nowcast M1,ar2,40,16.16824064513141,10.63380006325167,-1.734737601648051,-0.10440184820119504,0.7,40,0.7,1.0,1.1210494777299191
2019-2021,nowcast M1,mean,40,14.422414858861945,8.41857058451292,-0.7196012735796995,-0.2245805823631721,0.9,40,0.8,0.8920212888595787,1.0
2019-2021,nowcast M2,bbvar/-,50,8.178023384562373,5.140753183204321,-1.3760628344003778,0.8484335316001204,0.48,50,0.84,0.4052593548610071,0.5654318065777314
2019-2021,nowcast M2,cbvar/authors,50,9.315241526557186,6.892245472794774,-2.105226360988737,0.8048908784614749,0.5,50,0.62,0.4616138391769887,0.6440595236022294
