window,metodo,fase,n,n_com,RMSE,RMSE_com,RMSE_rel_ar2,MAE,Bias,corr,MDA,MDA_com,n_dir,SignAcc
2007-2019,nyfed,nowcast M2,260,260,2.1677208772374335,2.1677208772374335,0.9260919491379317,1.53199935489562,0.47622961904127004,0.4861590935600278,0.7,0.7,260,0.9
2007-2019,nyfed,nowcast M3,208,208,1.9198553656423256,1.9198553656423256,0.8201990469808421,1.423612855049675,0.4148930805797316,0.6190589887894131,0.7932692307692307,0.7932692307692307,208,0.9038461538461539
2007-2019,nyfed,backcast,205,205,1.794961807894202,1.794961807894202,0.7639421097968568,1.337356082251754,0.28480567185888056,0.6757315050326623,0.8059701492537313,0.8059701492537313,201,0.9073170731707317
2007-2019,ar2,forecast,678,261,2.7939280033187406,2.7268706098103754,1.0,1.831868970199315,0.6521178990655374,0.04075404271643858,0.7566765578635015,0.7701149425287356,674,0.8141592920353983
2007-2019,ar2,nowcast M1,208,208,2.495978102122555,2.495978102122555,1.0,1.6543381832912305,0.4608945890201022,0.15988912653489704,0.7647058823529411,0.7647058823529411,204,0.8461538461538461
2007-2019,ar2,nowcast M2,260,260,2.3407188446625553,2.3407188446625553,1.0,1.6429881263582637,0.38002048209064404,0.3194952642582483,0.6923076923076923,0.6923076923076923,260,0.8653846153846154
2007-2019,ar2,nowcast M3,208,208,2.3407188446625553,2.3407188446625553,1.0,1.6429881263582635,0.38002048209064415,0.3194952642582483,0.6923076923076923,0.6923076923076923,208,0.8653846153846154
2007-2019,ar2,backcast,205,205,2.3496044855696043,2.3496044855696043,1.0,1.6589503571438386,0.32462709135454393,0.3165018508914057,0.6915422885572139,0.6915422885572139,201,0.8682926829268293
2007-2019,mean,forecast,678,261,2.8341162578705346,2.800370347836638,1.0143841410745218,1.823419118735576,1.0319764589292233,-0.3963606777283048,0.7952522255192879,0.8122605363984674,674,0.8259587020648967
2007-2019,mean,nowcast M1,208,208,2.6282544456377295,2.6282544456377295,1.05299579487604,1.7054235867594865,0.9156088295723198,-0.44770379865552706,0.7990196078431373,0.7990196078431373,204,0.8461538461538461
2007-2019,mean,nowcast M2,260,260,2.613834601578507,2.613834601578507,1.116680291415061,1.6974745068167454,0.9062407444239892,-0.3983963893100894,0.6923076923076923,0.6923076923076923,260,0.8461538461538461
2007-2019,mean,nowcast M3,208,208,2.613834601578507,2.613834601578507,1.116680291415061,1.6974745068167456,0.906240744423989,-0.3983963893100904,0.6923076923076923,0.6923076923076923,208,0.8461538461538461
2007-2019,mean,backcast,205,205,2.61974058630106,2.61974058630106,1.1149708822870108,1.7032498981889412,0.8914755686650981,-0.3412313200993381,0.6915422885572139,0.6915422885572139,201,0.848780487804878
