job,ok,returncode,minutes,detail,log
bvar_lbvar_2011-07-29,True,0,428.61,,output/_logs/run_all/bvar_lbvar_2011-07-29.log
bvar_lbvar_2011-04-29,True,0,431.23,,output/_logs/run_all/bvar_lbvar_2011-04-29.log
bvar_lbvar_2013-08-02,True,0,431.56,,output/_logs/run_all/bvar_lbvar_2013-08-02.log
bvar_bbvar_2015-10-30,True,0,431.66,,output/_logs/run_all/bvar_bbvar_2015-10-30.log
bvar_bbvar_2008-05-02,True,0,432.21,,output/_logs/run_all/bvar_bbvar_2008-05-02.log
bvar_lbvar_2012-05-04,True,0,434.76,,output/_logs/run_all/bvar_lbvar_2012-05-04.log
bvar_bbvar_2020-05-01,True,0,435.93,,output/_logs/run_all/bvar_bbvar_2020-05-01.log
bvar_bbvar_2018-08-03,True,0,436.6,,output/_logs/run_all/bvar_bbvar_2018-08-03.log
bvar_bbvar_2018-02-02,True,0,436.61,,output/_logs/run_all/bvar_bbvar_2018-02-02.log
bvar_lbvar_2013-05-03,True,0,436.79,,output/_logs/run_all/bvar_lbvar_2013-05-03.log
bvar_lbvar_2008-10-31,True,0,437.12,,output/_logs/run_all/bvar_lbvar_2008-10-31.log
bvar_bbvar_2015-01-30,True,0,437.13,,output/_logs/run_all/bvar_bbvar_2015-01-30.log
bvar_bbvar_2015-07-31,True,0,438.39,,output/_logs/run_all/bvar_bbvar_2015-07-31.log
bvar_bbvar_2013-11-01,True,0,439.63,,output/_logs/run_all/bvar_bbvar_2013-11-01.log
bvar_bbvar_2011-10-28,True,0,439.79,,output/_logs/run_all/bvar_bbvar_2011-10-28.log
bvar_lbvar_2014-05-02,True,0,440.9,,output/_logs/run_all/bvar_lbvar_2014-05-02.log
bvar_bbvar_2011-07-29,True,0,441.7,,output/_logs/run_all/bvar_bbvar_2011-07-29.log
bvar_bbvar_2016-04-29,True,0,442.22,,output/_logs/run_all/bvar_bbvar_2016-04-29.log
bvar_bbvar_2021-10-29,True,0,442.29,,output/_logs/run_all/bvar_bbvar_2021-10-29.log
bvar_lbvar_2009-01-30,True,0,444.96,,output/_logs/run_all/bvar_lbvar_2009-01-30.log
bvar_bbvar_2012-05-04,True,0,445.24,,output/_logs/run_all/bvar_bbvar_2012-05-04.log
bvar_lbvar_2009-07-31,True,0,445.43,,output/_logs/run_all/bvar_lbvar_2009-07-31.log
bvar_lbvar_2015-07-31,True,0,446.24,,output/_logs/run_all/bvar_lbvar_2015-07-31.log
bvar_lbvar_2010-10-29,True,0,446.57,,output/_logs/run_all/bvar_lbvar_2010-10-29.log
bvar_bbvar_2014-08-01,True,0,446.72,,output/_logs/run_all/bvar_bbvar_2014-08-01.log
bvar_lbvar_2017-11-03,True,0,446.91,,output/_logs/run_all/bvar_lbvar_2017-11-03.log
bvar_bbvar_2014-05-02,True,0,447.43,,output/_logs/run_all/bvar_bbvar_2014-05-02.log
bvar_lbvar_2011-01-28,True,0,448.27,,output/_logs/run_all/bvar_lbvar_2011-01-28.log
bvar_bbvar_2009-07-31,True,0,448.5,,output/_logs/run_all/bvar_bbvar_2009-07-31.log
bvar_bbvar_2024-02-02,True,0,448.57,,output/_logs/run_all/bvar_bbvar_2024-02-02.log
bvar_bbvar_2016-07-29,True,0,448.65,,output/_logs/run_all/bvar_bbvar_2016-07-29.log
bvar_lbvar_2008-02-01,True,0,450.39,,output/_logs/run_all/bvar_lbvar_2008-02-01.log
bvar_lbvar_2010-04-30,True,0,451.02,,output/_logs/run_all/bvar_lbvar_2010-04-30.log
bvar_bbvar_2013-05-03,True,0,451.02,,output/_logs/run_all/bvar_bbvar_2013-05-03.log
bvar_lbvar_2015-05-01,True,0,451.16,,output/_logs/run_all/bvar_lbvar_2015-05-01.log
bvar_bbvar_2012-11-02,True,0,452.06,,output/_logs/run_all/bvar_bbvar_2012-11-02.log
